Human_ENSEMBL,Human_GeneName,Zebrafish_ENSEMBL,Zebrafish_GeneName
ENSG00000239008,,ENSDARG00000080777,BX548038.1
ENSG00000074842,MYDGF,ENSDARG00000071679,mydgf
ENSG00000271907,SNORA35B,ENSDARG00000080450,CT863714.2
ENSG00000261210,CLEC19A,ENSDARG00000115545,clec19a
ENSG00000120563,LYZL1,ENSDARG00000057789,lyz
ENSG00000197324,LRP10,ENSDARG00000054539,lrp10
ENSG00000199878,RN7SKP149,ENSDARG00000081270,rn7sk
ENSG00000187676,B3GLCT,ENSDARG00000073917,b3glcta
ENSG00000187676,B3GLCT,ENSDARG00000077740,b3glctb
ENSG00000108578,BLMH,ENSDARG00000025977,blmh
ENSG00000133740,E2F5,ENSDARG00000038812,e2f5
ENSG00000102970,CCL17,ENSDARG00000103466,ccl35.1
ENSG00000102970,CCL17,ENSDARG00000070378,ccl35.2
ENSG00000187398,LUZP2,ENSDARG00000068247,luzp2
ENSG00000130449,ZSWIM6,ENSDARG00000101282,zswim6
ENSG00000139174,PRICKLE1,ENSDARG00000045694,prickle1b
ENSG00000139174,PRICKLE1,ENSDARG00000040649,prickle1a
ENSG00000120029,ARMH3,ENSDARG00000104285,armh3
ENSG00000130559,CAMSAP1,ENSDARG00000019208,camsap1a
ENSG00000130559,CAMSAP1,ENSDARG00000035122,camsap1b
ENSG00000100142,POLR2F,ENSDARG00000036625,polr2f
ENSG00000221900,POM121L12,ENSDARG00000055113,pom121
ENSG00000101265,RASSF2,ENSDARG00000044044,rassf2b
ENSG00000101265,RASSF2,ENSDARG00000029865,rassf2a
ENSG00000180776,ZDHHC20,ENSDARG00000058178,zdhhc20b
ENSG00000180776,ZDHHC20,ENSDARG00000055066,zdhhc20a
ENSG00000139890,REM2,ENSDARG00000074064,rem2
ENSG00000065989,PDE4A,ENSDARG00000032344,pde4a
ENSG00000126522,ASL,ENSDARG00000033361,asl
ENSG00000164171,ITGA2,ENSDARG00000062974,itga2.2
ENSG00000164171,ITGA2,ENSDARG00000086838,itga2.3
ENSG00000164171,ITGA2,ENSDARG00000069390,itga2.1
ENSG00000144596,GRIP2,ENSDARG00000087187,grip2a
ENSG00000144596,GRIP2,ENSDARG00000027618,grip2b
ENSG00000112796,ENPP5,ENSDARG00000070625,enpp5
ENSG00000138663,COPS4,ENSDARG00000043732,cops4
ENSG00000139793,MBNL2,ENSDARG00000018460,mbnl2
ENSG00000187773,DIPK1C,ENSDARG00000105040,dipk1c
ENSG00000179431,FJX1,ENSDARG00000035873,fjx1
ENSG00000152034,MCHR2,ENSDARG00000101313,MCHR2
ENSG00000152034,MCHR2,ENSDARG00000007842,MCHR2
ENSG00000075336,TIMM21,ENSDARG00000071594,TIMM21
ENSG00000244005,NFS1,ENSDARG00000062237,nfs1
ENSG00000171314,PGAM1,ENSDARG00000005423,pgam1a
ENSG00000171314,PGAM1,ENSDARG00000014068,pgam1b
ENSG00000135338,LCA5,ENSDARG00000076153,lca5
ENSG00000184672,RALYL,ENSDARG00000103845,zgc:55733
ENSG00000184672,RALYL,ENSDARG00000053810,hnrnpc
ENSG00000100151,PICK1,ENSDARG00000071152,pick1
ENSG00000007545,CRAMP1,ENSDARG00000079616,cramp1
ENSG00000095596,CYP26A1,ENSDARG00000033999,cyp26a1
ENSG00000184937,WT1,ENSDARG00000007990,wt1b
ENSG00000184937,WT1,ENSDARG00000031420,wt1a
ENSG00000126767,ELK1,ENSDARG00000078066,elk1
ENSG00000126653,NSRP1,ENSDARG00000015221,nsrp1
ENSG00000187189,TSPYL4,ENSDARG00000005015,tspy
ENSG00000187189,TSPYL4,ENSDARG00000070560,nap1l4a
ENSG00000166347,CYB5A,ENSDARG00000098589,cyb5a
ENSG00000198963,RORB,ENSDARG00000033498,rorb
ENSG00000187871,GFRAL,ENSDARG00000089709,gfral
ENSG00000114166,KAT2B,ENSDARG00000062634,kat2b
ENSG00000008196,TFAP2B,ENSDARG00000012667,tfap2b
ENSG00000160299,PCNT,ENSDARG00000033012,pcnt
ENSG00000057593,F7,ENSDARG00000034862,f7
ENSG00000057593,F7,ENSDARG00000075827,f7i
ENSG00000006007,GDE1,ENSDARG00000055108,gde1
ENSG00000136379,ABHD17C,ENSDARG00000058452,abhd17c
ENSG00000136379,ABHD17C,ENSDARG00000114931,BX470137.2
ENSG00000105401,CDC37,ENSDARG00000099301,cdc37
ENSG00000164794,KCNV1,ENSDARG00000070092,KCNV1
ENSG00000070159,PTPN3,ENSDARG00000055784,ptpn3
ENSG00000134769,DTNA,ENSDARG00000031015,dtna
ENSG00000236699,ARHGEF38,ENSDARG00000079377,arhgef38
ENSG00000156467,UQCRB,ENSDARG00000011146,uqcrb
ENSG00000103888,CEMIP,ENSDARG00000039881,cemip
ENSG00000102962,CCL22,ENSDARG00000103466,ccl35.1
ENSG00000102962,CCL22,ENSDARG00000070378,ccl35.2
ENSG00000174808,BTC,ENSDARG00000098112,btc
ENSG00000126218,F10,ENSDARG00000088581,f10
ENSG00000256812,CAPNS2,ENSDARG00000010758,capn12
ENSG00000256812,CAPNS2,ENSDARG00000098239,zgc:85932
ENSG00000167693,NXN,ENSDARG00000033978,nxn
ENSG00000164039,BDH2,ENSDARG00000052696,bdh2
ENSG00000142166,IFNAR1,ENSDARG00000078042,il10rb
ENSG00000093217,XYLB,ENSDARG00000043260,xylb
ENSG00000165304,MELK,ENSDARG00000030759,melk
ENSG00000111224,PARP11,ENSDARG00000098716,parp11
ENSG00000125995,ROMO1,ENSDARG00000038076,romo1
ENSG00000111912,NCOA7,ENSDARG00000077559,LO017815.1
ENSG00000111912,NCOA7,ENSDARG00000101118,CABZ01066813.1
ENSG00000128298,BAIAP2L2,ENSDARG00000016483,baiap2l2a
ENSG00000128298,BAIAP2L2,ENSDARG00000060933,baiap2l2b
ENSG00000135720,DYNC1LI2,ENSDARG00000035924,dync1li2
ENSG00000123136,DDX39A,ENSDARG00000006225,ddx39aa
ENSG00000123136,DDX39A,ENSDARG00000015111,ddx39ab
ENSG00000131051,RBM39,ENSDARG00000011613,rbm39a
ENSG00000131051,RBM39,ENSDARG00000041853,rbm39b
ENSG00000161179,YDJC,ENSDARG00000062655,ydjc
ENSG00000104341,LAPTM4B,ENSDARG00000035870,laptm4b
ENSG00000133818,RRAS2,ENSDARG00000036252,rras2
ENSG00000126231,PROZ,ENSDARG00000037783,proza
ENSG00000126231,PROZ,ENSDARG00000076900,prozb
ENSG00000130349,MTRES1,ENSDARG00000077614,mtres1
ENSG00000128228,SDF2L1,ENSDARG00000035631,sdf2l1
ENSG00000130038,CRACR2A,ENSDARG00000068231,CRACR2A
ENSG00000130038,CRACR2A,ENSDARG00000045758,cracr2ab
ENSG00000212102,MIR301B,ENSDARG00000081488,dre-mir-301c
ENSG00000212102,MIR301B,ENSDARG00000082169,dre-mir-301b
ENSG00000148841,ITPRIP,ENSDARG00000015576,itprip
ENSG00000148841,ITPRIP,ENSDARG00000036479,ITPRIP
ENSG00000146250,PRSS35,ENSDARG00000100691,prss35
ENSG00000146250,PRSS35,ENSDARG00000059081,PRSS35
ENSG00000174607,UGT8,ENSDARG00000037455,ugt8
ENSG00000100023,PPIL2,ENSDARG00000002016,ppil2
ENSG00000126226,PCID2,ENSDARG00000013802,pcid2
ENSG00000120051,CFAP58,ENSDARG00000069435,cfap58
ENSG00000112305,SMAP1,ENSDARG00000031302,smap1
ENSG00000147432,CHRNB3,ENSDARG00000052764,chrnb3a
ENSG00000147432,CHRNB3,ENSDARG00000038508,chrnb3b
ENSG00000006125,AP2B1,ENSDARG00000035152,ap2b1
ENSG00000138780,GSTCD,ENSDARG00000036494,gstcd
ENSG00000106524,ANKMY2,ENSDARG00000005948,ankmy2a
ENSG00000106524,ANKMY2,ENSDARG00000093668,ankmy2b
ENSG00000034239,CLXN,ENSDARG00000061377,efcab1
ENSG00000159140,SON,ENSDARG00000114730,CABZ01113192.1
ENSG00000159140,SON,ENSDARG00000055389,si:dkey-67c22.2
ENSG00000023697,DERA,ENSDARG00000005897,dera
ENSG00000196932,TMEM26,ENSDARG00000077979,tmem26a
ENSG00000196932,TMEM26,ENSDARG00000014682,tmem26b
ENSG00000152409,JMY,ENSDARG00000114796,JMY
ENSG00000262655,SPON1,ENSDARG00000010029,spon1a
ENSG00000103460,TOX3,ENSDARG00000073957,tox3
ENSG00000123146,ADGRE5,ENSDARG00000097680,si:ch211-241f5.3
ENSG00000108100,CCNY,ENSDARG00000063677,ccny
ENSG00000168621,GDNF,ENSDARG00000103764,gdnfb
ENSG00000168621,GDNF,ENSDARG00000039959,gdnfa
ENSG00000117971,CHRNB4,ENSDARG00000101677,chrnb4
ENSG00000118402,ELOVL4,ENSDARG00000006773,elovl4a
ENSG00000118402,ELOVL4,ENSDARG00000027495,elovl4b
ENSG00000170162,VGLL2,ENSDARG00000041706,vgll2a
ENSG00000180543,TSPYL5,ENSDARG00000005015,tspy
ENSG00000180543,TSPYL5,ENSDARG00000070560,nap1l4a
ENSG00000141076,UTP4,ENSDARG00000017675,utp4
ENSG00000174599,TRAM1L1,ENSDARG00000019137,tram1
ENSG00000079950,STX7,ENSDARG00000069208,stx7l
ENSG00000164300,SERINC5,ENSDARG00000008153,serinc5
ENSG00000100462,PRMT5,ENSDARG00000079605,prmt5
ENSG00000147166,ITGB1BP2,ENSDARG00000030176,zgc:92429
ENSG00000121380,BCL2L14,ENSDARG00000090401,CABZ01020840.1
ENSG00000133739,LRRCC1,ENSDARG00000078535,lrrcc1
ENSG00000138777,PPA2,ENSDARG00000009685,ppa2
ENSG00000146410,MTFR2,ENSDARG00000060394,mtfr2
ENSG00000255690,TRIL,ENSDARG00000100791,tril
ENSG00000136274,NACAD,ENSDARG00000012347,nacad
ENSG00000186810,CXCR3,ENSDARG00000007358,cxcr3.1
ENSG00000186810,CXCR3,ENSDARG00000070669,cxcr3.3
ENSG00000100027,YPEL1,ENSDARG00000035630,ypel1
ENSG00000196547,MAN2A2,ENSDARG00000063101,man2a2
ENSG00000155962,CLIC2,ENSDARG00000010625,clic2
ENSG00000146729,NIPSNAP2,ENSDARG00000007264,nipsnap2
ENSG00000164190,NIPBL,ENSDARG00000098272,nipbla
ENSG00000164190,NIPBL,ENSDARG00000061052,nipblb
ENSG00000105137,SYDE1,ENSDARG00000077440,SYDE1
ENSG00000001561,ENPP4,ENSDARG00000006877,enpp4
ENSG00000179715,PCED1B,ENSDARG00000002685,fam113
ENSG00000185973,TMLHE,ENSDARG00000077547,tmlhe
ENSG00000153989,NUS1,ENSDARG00000027813,nus1
ENSG00000151893,CACUL1,ENSDARG00000021885,cacul1
ENSG00000139044,B4GALNT3,ENSDARG00000078749,b4galnt3a
ENSG00000139044,B4GALNT3,ENSDARG00000058939,b4galnt3b
ENSG00000112701,SENP6,ENSDARG00000079992,senp6b
ENSG00000112701,SENP6,ENSDARG00000102923,senp6a
ENSG00000167910,CYP7A1,ENSDARG00000069018,cyp7a1
ENSG00000124333,VAMP7,ENSDARG00000030775,sybl1
ENSG00000107560,RAB11FIP2,ENSDARG00000101432,rab11fip2
ENSG00000197275,RAD54B,ENSDARG00000092134,rad54b
ENSG00000099910,KLHL22,ENSDARG00000088807,klhl22
ENSG00000197381,ADARB1,ENSDARG00000003544,adarb1b
ENSG00000197381,ADARB1,ENSDARG00000041609,adarb1a
ENSG00000146733,PSPH,ENSDARG00000040314,psph
ENSG00000139842,CUL4A,ENSDARG00000096578,cul4a
ENSG00000188620,HMX3,ENSDARG00000070955,hmx3a
ENSG00000188620,HMX3,ENSDARG00000096716,hmx3b
ENSG00000139209,SLC38A4,ENSDARG00000018149,slc38a4
ENSG00000170011,MYRIP,ENSDARG00000075706,si:ch211-106h4.9
ENSG00000170011,MYRIP,ENSDARG00000038814,myrip
ENSG00000181090,EHMT1,ENSDARG00000026634,ehmt1b
ENSG00000181090,EHMT1,ENSDARG00000068157,ehmt1a
ENSG00000189319,FAM53B,ENSDARG00000016156,fam53b
ENSG00000087253,LPCAT2,ENSDARG00000053010,lpcat2
ENSG00000102076,OPN1LW,ENSDARG00000044862,opn1lw1
ENSG00000102076,OPN1LW,ENSDARG00000044861,opn1lw2
ENSG00000119973,PRLHR,ENSDARG00000099953,PRLHR
ENSG00000133433,GSTT2B,ENSDARG00000095464,gstt2
ENSG00000133433,GSTT2B,ENSDARG00000042620,gstr
ENSG00000138152,BTBD16,ENSDARG00000027710,btbd16
ENSG00000268221,OPN1MW,ENSDARG00000044862,opn1lw1
ENSG00000268221,OPN1MW,ENSDARG00000044861,opn1lw2
ENSG00000104517,UBR5,ENSDARG00000018192,ubr5
ENSG00000099974,DDTL,ENSDARG00000044751,ddt
ENSG00000065154,OAT,ENSDARG00000078425,oat
ENSG00000103942,HOMER2,ENSDARG00000059349,homer2
ENSG00000099991,CABIN1,ENSDARG00000094868,si:ch73-313l22.2
ENSG00000099991,CABIN1,ENSDARG00000079326,cabin1
ENSG00000205857,NANOGNB,ENSDARG00000102690,rims2b
ENSG00000168928,CTRB2,ENSDARG00000093844,zgc:136461
ENSG00000168928,CTRB2,ENSDARG00000090428,ctrb1
ENSG00000071859,FAM50A,ENSDARG00000024895,fam50a
ENSG00000023734,STRAP,ENSDARG00000007405,strap
ENSG00000103089,FA2H,ENSDARG00000090063,fa2h
ENSG00000170430,MGMT,ENSDARG00000043275,mgmt
ENSG00000148824,MTG1,ENSDARG00000069386,mtg1
ENSG00000033178,UBA6,ENSDARG00000080019,UBA6
ENSG00000130827,PLXNA3,ENSDARG00000007172,plxna3
ENSG00000112234,FBXL4,ENSDARG00000026941,fbxl4
ENSG00000073417,PDE8A,ENSDARG00000087941,pde8a
ENSG00000118557,PMFBP1,ENSDARG00000101917,pmfbp1
ENSG00000111405,ENDOU,ENSDARG00000044204,endou
ENSG00000198833,UBE2J1,ENSDARG00000033489,ube2j1
ENSG00000166272,WBP1L,ENSDARG00000013245,wbp1la
ENSG00000166272,WBP1L,ENSDARG00000029751,wbp1lb
ENSG00000106070,GRB10,ENSDARG00000002013,grb10a
ENSG00000106070,GRB10,ENSDARG00000035308,grb10b
ENSG00000118690,ARMC2,ENSDARG00000022660,armc2
ENSG00000064102,INTS13,ENSDARG00000011764,ints13
ENSG00000102178,UBL4A,ENSDARG00000007359,UBL4A
ENSG00000126217,MCF2L,ENSDARG00000069929,CABZ01053976.1
ENSG00000126217,MCF2L,ENSDARG00000076480,mcf2lb
ENSG00000126217,MCF2L,ENSDARG00000075859,mcf2la
ENSG00000173376,NDNF,ENSDARG00000062936,ndnf
ENSG00000126903,SLC10A3,ENSDARG00000103220,slc10a3
ENSG00000163116,STPG2,ENSDARG00000061060,stpg2
ENSG00000183762,KREMEN1,ENSDARG00000062579,kremen1
ENSG00000085382,HACE1,ENSDARG00000062280,hace1
ENSG00000253251,SHLD3,ENSDARG00000035700,zgc:101664
ENSG00000147180,ZNF711,ENSDARG00000071868,znf711
ENSG00000086205,FOLH1,ENSDARG00000021383,naalad2
ENSG00000152348,ATG10,ENSDARG00000104846,atg10
ENSG00000131378,RFTN1,ENSDARG00000070831,rftn1a
ENSG00000131378,RFTN1,ENSDARG00000098654,FQ976914.1
ENSG00000167778,SPRYD3,ENSDARG00000101982,spryd3
ENSG00000132141,CCT6B,ENSDARG00000021252,cct6a
ENSG00000171724,VAT1L,ENSDARG00000101280,vat1l
ENSG00000164089,ETNPPL,ENSDARG00000035544,etnppl
ENSG00000107290,SETX,ENSDARG00000022996,setx
ENSG00000107290,SETX,ENSDARG00000078759,dna2
ENSG00000123570,RAB9B,ENSDARG00000103391,rab9b
ENSG00000171853,TRAPPC12,ENSDARG00000060101,trappc12
ENSG00000178573,MAF,ENSDARG00000076520,mafb
ENSG00000178573,MAF,ENSDARG00000015890,mafa
ENSG00000103047,TANGO6,ENSDARG00000034001,tango6
ENSG00000182022,CHST15,ENSDARG00000074527,chst15
ENSG00000113319,RASGRF2,ENSDARG00000002816,rasgrf2b
ENSG00000113319,RASGRF2,ENSDARG00000075054,rasgrf2a
ENSG00000123159,GIPC1,ENSDARG00000104483,gipc1
ENSG00000148344,PTGES,ENSDARG00000020136,ptges
ENSG00000139173,TMEM117,ENSDARG00000088356,tmem117
ENSG00000136828,RALGPS1,ENSDARG00000068370,ralgps1
ENSG00000164037,SLC9B1,ENSDARG00000052700,SLC9B2
ENSG00000182551,ADI1,ENSDARG00000020448,adi1
ENSG00000170293,CMTM8,ENSDARG00000102973,cmtm8a
ENSG00000170293,CMTM8,ENSDARG00000063162,cmtm8b
ENSG00000138162,TACC2,ENSDARG00000062790,CU639469.1
ENSG00000151229,SLC2A13,ENSDARG00000076899,slc2a13b
ENSG00000151229,SLC2A13,ENSDARG00000087867,SLC2A13
ENSG00000100263,RHBDD3,ENSDARG00000079816,rhbdd3
ENSG00000169330,MINAR1,ENSDARG00000105432,MINAR1
ENSG00000169330,MINAR1,ENSDARG00000100256,si:dkey-88e18.8
ENSG00000005156,LIG3,ENSDARG00000052553,lig3
ENSG00000186115,CYP4F2,ENSDARG00000004964,cyp4t8
ENSG00000186115,CYP4F2,ENSDARG00000053530,cyp4f3
ENSG00000154783,FGD5,ENSDARG00000088801,fgd5a
ENSG00000154783,FGD5,ENSDARG00000089622,fgd5b
ENSG00000112773,TENT5A,ENSDARG00000116442,TENT5A
ENSG00000112773,TENT5A,ENSDARG00000054641,tent5ab
ENSG00000181991,MRPS11,ENSDARG00000075129,mrps11
ENSG00000112276,BVES,ENSDARG00000058548,bves
ENSG00000111704,NANOG,ENSDARG00000075113,nanog
ENSG00000172554,SNTG2,ENSDARG00000101660,sntg2
ENSG00000100296,THOC5,ENSDARG00000038290,thoc5
ENSG00000166831,RBPMS2,ENSDARG00000045930,rbpms2a
ENSG00000166831,RBPMS2,ENSDARG00000079578,rbpms2b
ENSG00000197860,SGTB,ENSDARG00000016769,sgtb
ENSG00000100804,PSMB5,ENSDARG00000075445,psmb5
ENSG00000111879,FAM184A,ENSDARG00000014081,fam184a
ENSG00000111879,FAM184A,ENSDARG00000002635,FAM184A
ENSG00000166173,LARP6,ENSDARG00000005355,larp6a
ENSG00000196814,MVB12B,ENSDARG00000091619,mvb12ba
ENSG00000196814,MVB12B,ENSDARG00000079478,mvb12bb
ENSG00000088682,COQ9,ENSDARG00000023583,coq9
ENSG00000135220,UGT2A3,ENSDARG00000006372,ugt5c2
ENSG00000135220,UGT2A3,ENSDARG00000061439,ugt5c3
ENSG00000135220,UGT2A3,ENSDARG00000061444,ugt5c1
ENSG00000135220,UGT2A3,ENSDARG00000054835,ugt5f1
ENSG00000135220,UGT2A3,ENSDARG00000104203,ugt5b5
ENSG00000135220,UGT2A3,ENSDARG00000104995,ugt5b1
ENSG00000135220,UGT2A3,ENSDARG00000101495,ugt5b2
ENSG00000135220,UGT2A3,ENSDARG00000091916,ugt5b4
ENSG00000135220,UGT2A3,ENSDARG00000099276,ugt5b2
ENSG00000135220,UGT2A3,ENSDARG00000016479,ugt5a1
ENSG00000135220,UGT2A3,ENSDARG00000093640,ugt5a2
ENSG00000135220,UGT2A3,ENSDARG00000116986,zgc:172315
ENSG00000135220,UGT2A3,ENSDARG00000091624,ugt2a7
ENSG00000135220,UGT2A3,ENSDARG00000113218,FP236810.2
ENSG00000135220,UGT2A3,ENSDARG00000110614,ugt2a7
ENSG00000135220,UGT2A3,ENSDARG00000093043,ugt2a7
ENSG00000135220,UGT2A3,ENSDARG00000109611,FP236810.1
ENSG00000135220,UGT2A3,ENSDARG00000002394,ugt5d1
ENSG00000135220,UGT2A3,ENSDARG00000043901,ugt5g2
ENSG00000135220,UGT2A3,ENSDARG00000032862,ugt5g1
ENSG00000135220,UGT2A3,ENSDARG00000061672,si:ch73-334d15.1
ENSG00000135220,UGT2A3,ENSDARG00000058048,ugt5e1
ENSG00000222028,PSMB11,ENSDARG00000108530,psmb11a
ENSG00000222028,PSMB11,ENSDARG00000068086,psmb11b
ENSG00000179933,C14orf119,ENSDARG00000054292,C2H14orf119
ENSG00000069667,RORA,ENSDARG00000031768,roraa
ENSG00000283654,CIROP,ENSDARG00000098915,si:ch211-216p19.5
ENSG00000189127,ANKRD34B,ENSDARG00000061641,ankrd34bb
ENSG00000189127,ANKRD34B,ENSDARG00000077086,ankrd34ba
ENSG00000104313,EYA1,ENSDARG00000014259,eya1
ENSG00000182752,PAPPA,ENSDARG00000059858,pappab
ENSG00000182752,PAPPA,ENSDARG00000101090,pappaa
ENSG00000171865,RNASEH1,ENSDARG00000042571,rnaseh1
ENSG00000112874,NUDT12,ENSDARG00000100813,nudt12
ENSG00000100842,EFS,ENSDARG00000088835,efs
ENSG00000185585,OLFML2A,ENSDARG00000113533,OLFML2A
ENSG00000185585,OLFML2A,ENSDARG00000005648,olfml2a
ENSG00000141738,GRB7,ENSDARG00000042726,grb7
ENSG00000070761,CFAP20,ENSDARG00000100514,cfap20
ENSG00000214078,CPNE1,ENSDARG00000075536,cpne1
ENSG00000151353,TMEM18,ENSDARG00000036704,tmem18
ENSG00000186204,CYP4F12,ENSDARG00000004964,cyp4t8
ENSG00000186204,CYP4F12,ENSDARG00000053530,cyp4f3
ENSG00000170681,CAVIN4,ENSDARG00000056743,cavin4b
ENSG00000170681,CAVIN4,ENSDARG00000038658,cavin4a
ENSG00000138802,SEC24B,ENSDARG00000071906,sec24b
ENSG00000131153,GINS2,ENSDARG00000002304,gins2
ENSG00000171451,DSEL,ENSDARG00000061461,dsela
ENSG00000170946,DNAJC24,ENSDARG00000023927,dnajc24
ENSG00000136928,GABBR2,ENSDARG00000061042,gabbr2
ENSG00000136928,GABBR2,ENSDARG00000111795,CR855311.6
ENSG00000141391,PRELID3A,ENSDARG00000055288,prelid3a
ENSG00000005020,SKAP2,ENSDARG00000000906,skap2
ENSG00000168925,CTRB1,ENSDARG00000093844,zgc:136461
ENSG00000168925,CTRB1,ENSDARG00000090428,ctrb1
ENSG00000171863,RPS7,ENSDARG00000042566,rps7
ENSG00000135736,CCDC102A,ENSDARG00000003872,ccdc102a
ENSG00000205213,LGR4,ENSDARG00000060542,lgr4
ENSG00000180530,NRIP1,ENSDARG00000068894,nrip1b
ENSG00000180530,NRIP1,ENSDARG00000068965,nrip1a
ENSG00000259431,THTPA,ENSDARG00000095445,si:dkey-191c17.2
ENSG00000259431,THTPA,ENSDARG00000063049,thtpa
ENSG00000159200,RCAN1,ENSDARG00000099004,CABZ01102170.1
ENSG00000159200,RCAN1,ENSDARG00000003109,rcan1a
ENSG00000213983,AP1G2,ENSDARG00000054337,ap1g2
ENSG00000160951,PTGER1,ENSDARG00000078605,ptger1a
ENSG00000160951,PTGER1,ENSDARG00000104847,ptger1b
ENSG00000122490,SLC66A2,ENSDARG00000112922,SLC66A2
ENSG00000151379,MSGN1,ENSDARG00000070546,msgn1
ENSG00000105135,ILVBL,ENSDARG00000017126,ilvbl
ENSG00000164543,STK17A,ENSDARG00000074715,stk17a
ENSG00000144455,SUMF1,ENSDARG00000044203,sumf1
ENSG00000163029,SMC6,ENSDARG00000058719,si:dkey-119f1.1
ENSG00000199065,MIR101-2,ENSDARG00000081347,dre-mir-101b
ENSG00000222581,RNU2-47P,ENSDARG00000085174,CR388189.4
ENSG00000251733,SCARNA8,ENSDARG00000103500,SCARNA8
ENSG00000184117,NIPSNAP1,ENSDARG00000005320,nipsnap1
ENSG00000223088,RMRPP5,ENSDARG00000080987,CR847546.1
ENSG00000166326,TRIM44,ENSDARG00000051761,trim44
ENSG00000252723,RNU6-677P,ENSDARG00000083979,CU464066.1
ENSG00000050820,BCAR1,ENSDARG00000056525,bcar1
ENSG00000202217,RN7SKP47,ENSDARG00000081270,rn7sk
ENSG00000187546,AGMO,ENSDARG00000025595,agmo
ENSG00000222293,RNU2-36P,ENSDARG00000115186,CR388189.8
ENSG00000222293,RNU2-36P,ENSDARG00000111709,CR388189.6
ENSG00000110048,OSBP,ENSDARG00000004634,osbp
ENSG00000278540,ACACA,ENSDARG00000078512,acaca
ENSG00000278540,ACACA,ENSDARG00000113739,CABZ01055489.1
ENSG00000134755,DSC2,ENSDARG00000039677,dsc2l
ENSG00000207726,MIR455,ENSDARG00000099451,dre-mir-455-1
ENSG00000207737,MIR181B2,ENSDARG00000081534,dre-mir-181b-2
ENSG00000207737,MIR181B2,ENSDARG00000081145,dre-mir-181b-1
ENSG00000009844,VTA1,ENSDARG00000013732,vta1
ENSG00000100314,CABP7,ENSDARG00000060846,cabp7b
ENSG00000100314,CABP7,ENSDARG00000078272,CABP7
ENSG00000171189,GRIK1,ENSDARG00000040627,grik1b
ENSG00000171189,GRIK1,ENSDARG00000069139,grik1a
ENSG00000136856,SLC2A8,ENSDARG00000104278,slc2a8
ENSG00000100319,ZMAT5,ENSDARG00000035434,zmat5
ENSG00000182348,ZNF804B,ENSDARG00000103396,znf804b
ENSG00000113318,MSH3,ENSDARG00000063276,msh3
ENSG00000136160,EDNRB,ENSDARG00000053498,ednrbb
ENSG00000136160,EDNRB,ENSDARG00000089334,ednrba
ENSG00000184076,UQCR10,ENSDARG00000104517,uqcr10
ENSG00000178425,NT5DC1,ENSDARG00000006797,nt5dc1
ENSG00000135362,PRR5L,ENSDARG00000029431,si:ch211-147k10.5
ENSG00000135362,PRR5L,ENSDARG00000105788,AL929208.1
ENSG00000075213,SEMA3A,ENSDARG00000042210,sema3ab
ENSG00000144642,RBMS3,ENSDARG00000044574,rbms3
ENSG00000153292,ADGRF1,ENSDARG00000086445,adgrf7
ENSG00000153292,ADGRF1,ENSDARG00000091757,adgrf6
ENSG00000153292,ADGRF1,ENSDARG00000075134,adgrf11
ENSG00000153292,ADGRF1,ENSDARG00000093316,adgrf8
ENSG00000138674,SEC31A,ENSDARG00000021082,sec31a
ENSG00000161031,PGLYRP2,ENSDARG00000062998,pglyrp2
ENSG00000161031,PGLYRP2,ENSDARG00000103642,pglyrp6
ENSG00000175548,ALG10B,ENSDARG00000053917,alg10
ENSG00000205078,SYCE1L,ENSDARG00000076609,si:ch211-199g17.9
ENSG00000139737,SLAIN1,ENSDARG00000104974,slain1b
ENSG00000139737,SLAIN1,ENSDARG00000019185,slain1a
ENSG00000110442,COMMD9,ENSDARG00000094258,commd9
ENSG00000196715,VKORC1L1,ENSDARG00000043644,vkorc1l1
ENSG00000206418,RAB12,ENSDARG00000089428,rab12
ENSG00000131149,GSE1,ENSDARG00000062020,gse1
ENSG00000131149,GSE1,ENSDARG00000062199,si:dkey-217l24.1
ENSG00000134294,SLC38A2,ENSDARG00000045886,slc38a2
ENSG00000142192,APP,ENSDARG00000104279,appa
ENSG00000142192,APP,ENSDARG00000055543,appb
ENSG00000066926,FECH,ENSDARG00000003462,fech
ENSG00000099992,TBC1D10A,ENSDARG00000102070,tbc1d10aa
ENSG00000099992,TBC1D10A,ENSDARG00000060096,tbc1d10ab
ENSG00000162981,LRATD1,ENSDARG00000018921,lratd1
ENSG00000106605,BLVRA,ENSDARG00000059857,blvra
ENSG00000186660,ZFP91,ENSDARG00000086626,im:7147486
ENSG00000186660,ZFP91,ENSDARG00000078434,znf692
ENSG00000186660,ZFP91,ENSDARG00000079631,si:ch211-113e8.10
ENSG00000151693,ASAP2,ENSDARG00000010181,asap2a
ENSG00000066651,TRMT11,ENSDARG00000040033,trmt11
ENSG00000185290,NUPR2,ENSDARG00000094557,nupr1b
ENSG00000149124,GLYAT,ENSDARG00000075561,si:dkey-76k16.5
ENSG00000149124,GLYAT,ENSDARG00000102568,si:ch73-106k19.2
ENSG00000149124,GLYAT,ENSDARG00000077481,si:dkey-76k16.6
ENSG00000157259,GATAD1,ENSDARG00000027612,gatad1
ENSG00000198862,LTN1,ENSDARG00000003984,LTN1
ENSG00000141977,CIB3,ENSDARG00000091072,cib3
ENSG00000154978,VOPP1,ENSDARG00000076373,vopp1
